x                y                z   mod
79.5794874762783 83.8000442205674 145 106.01341
76.5073935354098 84.691010467169 157 109.43517
80.873545651833 81.594989912398 137 98.581688
80.3844078491196 88.5368578103926 140 106.01341
75.253896576075 87.3311799831051 137 109.43517
76.4981616010717 92.8404966709722 153 131.3465
68.7384046553672 83.4781324274045 164 139.27324
83.2149380444881 89.9793321693853 149 123.93793
95.2965527982557 98.0342292975611 130 113.67155
82.7142685969317 75.7626066036707 139 105.40512
34.4644976539016 99.1805513370975 216 209.6705
88.7198960829068 68.2273155222977 119 124.8772
104.110732422529 50.1674610863211 116 122.75974
109.849005394637 104.363446362575 132 118.61928
133.296848533488 75.53782300683 116 118.07516
112.392724762990 31.6791732291756 121 118.82789
46.6641966265921 53.8242084127119 171 140.08147
31.167471418091 84.3425348973088 189 190.5453
45.0883819487845 107.172091399939 219 181.71896
76.5514048113665 84.6916140477973 148 109.43517
88.9254773729228 77.981510594334 129 110.45936
