x y z
35 35 121.124606750512
40 35 121.574840828044
45 35 122.070365684859
50 35 122.413481629761
55 35 123.214425473733
60 35 123.754389327168
65 35 123.709818574076
70 35 123.594002349014
75 35 123.838072103345
80 35 123.411632414421
85 35 123.067550419754
90 35 122.517936801233
95 35 121.774263339873
100 35 121.204622353189
105 35 119.902769143533
110 35 118.674600214868
115 35 117.353842132143
120 35 116.442618347994
125 35 116.100843160408
130 35 115.957648475873
5 40 124.067854222482
10 40 123.737359713432
15 40 123.559423042825
20 40 123.4478228827
25 40 123.464628712117
30 40 123.324381149446
35 40 123.083473390779
40 40 123.347660810925
45 40 124.275532722612
50 40 125.443355159085
55 40 125.766442308011
60 40 126.336303589329
65 40 126.138793088345
70 40 125.782997549453
75 40 125.425954435422
80 40 124.914207055629
85 40 124.657230736517
90 40 124.79990703753
95 40 124.089601348919
100 40 122.754114632653
105 40 121.602644570903
110 40 119.861962858901
115 40 118.535715378392
120 40 117.442082414324
125 40 116.811209563202
130 40 116.751353277995
5 45 126.879384931918
10 45 126.84875886861
15 45 126.888475940869
20 45 126.869172924925
25 45 127.017776985691
30 45 127.653347862371
35 45 128.502807355323
40 45 128.983151604106
45 45 128.991381023238
50 45 128.818689242797
55 45 130.309888238815
60 45 130.755157191011
65 45 130.108487168384
70 45 129.341759568416
75 45 129.235098960999
80 45 129.016675454733
85 45 125.574704304203
90 45 126.165419359453
95 45 126.312172554527
100 45 124.809018101654
105 45 122.637551261675
110 45 122.12472275193
115 45 119.313186865445
120 45 113.524123994418
125 45 112.422571348644
130 45 117.130492268934
5 50 129.073200320443
10 50 129.685883246235
15 50 130.544612087435
20 50 131.461005759548
25 50 132.344354716627
30 50 134.565986492272
35 50 136.567958090341
40 50 138.541123787732
45 50 140.075002046128
50 50 140.690815047082
55 50 139.751219310125
60 50 138.711519532888
65 50 136.998333874729
70 50 133.172716854185
75 50 128.090116246432
80 50 123.700459091938
85 50 116.370005701779
90 50 122.072028422133
95 50 123.595738149473
100 50 122.733270718375
105 50 123.077404719653
110 50 121.839038908481
115 50 119.342912460079
120 50 114.054349780465
125 50 111.929901979228
130 50 117.230655332436
5 55 131.085593668371
10 55 132.655560620113
15 55 134.613714714987
20 55 136.881658477638
25 55 139.32283293699
30 55 142.019677448351
35 55 143.511874391039
40 55 144.715980872578
45 55 145.583660156157
50 55 145.898985046585
55 55 145.468472759989
60 55 141.655715752917
65 55 135.756898636919
70 55 133.157775879726
75 55 129.276248885347
80 55 120.571600435785
85 55 125.447110285367
90 55 121.049901689166
95 55 122.423536929594
100 55 121.237313307068
105 55 121.39688239972
110 55 120.325202949938
115 55 119.384539676321
120 55 117.939844227066
125 55 114.872548038616
130 55 117.330758696088
5 60 133.747077726297
10 60 135.092791213384
15 60 137.352771558165
20 60 140.238273546118
25 60 143.57399508846
30 60 147.338164055602
35 60 149.591273548025
40 60 150.278986255557
45 60 150.801320576936
50 60 151.12305710684
55 60 150.93098489288
60 60 143.198644727221
65 60 135.837327480091
70 60 124.917559316833
75 60 121.542235200462
80 60 121.943206043812
85 60 124.373523188051
90 60 123.82317505339
95 60 121.413695123228
100 60 120.538963482383
105 60 120.233133546792
110 60 119.414957272155
115 60 118.803676001132
120 60 118.174520179741
125 60 117.615634820308
130 60 117.466240586806
5 65 138.048106080811
10 65 140.58132565944
15 65 144.009690837098
20 65 148.188308738831
25 65 152.746930651967
30 65 157.768672254352
35 65 159.753234400404
40 65 159.832311058771
45 65 156.906408898748
50 65 153.862590536107
55 65 151.947061431193
60 65 148.335061597628
65 65 135.386334294584
70 65 128.403385322952
75 65 116.137564727922
80 65 112.985598997931
85 65 120.173155247966
90 65 123.231129638094
95 65 121.053226915707
100 65 119.962056897185
105 65 119.890320262155
110 65 119.536556226387
115 65 118.719870832359
120 65 118.513218555827
125 65 118.181520978536
130 65 117.789747381287
5 70 145.844673322144
10 70 149.919009255911
15 70 154.26288996851
20 70 158.772482461808
25 70 163.06924516798
30 70 167.377271264145
35 70 169.35917958179
40 70 168.724969329339
45 70 166.048241633532
50 70 159.756980547929
55 70 154.75203868819
60 70 145.160756773556
65 70 137.74401981571
70 70 120.921497670995
75 70 113.819878518682
80 70 102.674025976642
85 70 112.448573009649
90 70 117.804881194703
95 70 118.288875551117
100 70 118.385165293631
105 70 119.175678263118
110 70 119.580572050864
115 70 119.201971217913
120 70 118.9947953069
125 70 118.637727709279
130 70 118.411109362669
5 75 154.850366905297
10 75 160.012799423873
15 75 166.469735301294
20 75 171.827533934253
25 75 175.707485713338
30 75 180.447344132827
35 75 182.28945675193
40 75 181.403956691715
45 75 177.288536535072
50 75 171.810714573497
55 75 164.940117489032
60 75 152.562310741271
65 75 138.431217437023
70 75 121.643222932949
75 75 107.617978948604
80 75 102.179815643758
85 75 111.380199238148
90 75 117.851150327676
95 75 117.271914649785
100 75 114.915467554098
105 75 118.207242449706
110 75 119.489846130594
115 75 119.008796529286
120 75 119.376412492272
125 75 119.278130782573
130 75 118.660002433856
5 80 161.131588878981
10 80 167.70101310137
15 80 175.992750204656
20 80 184.323633628813
25 80 189.651044000194
30 80 195.955554212592
35 80 197.945179778951
40 80 194.257948015788
45 80 189.820884272568
50 80 182.884416617444
55 80 176.387622678971
60 80 167.335371639771
65 80 150.629950589793
70 80 132.98938382149
75 80 114.168465664743
80 80 111.057392065663
85 80 116.880345714013
90 80 122.408870048485
95 80 122.697455671164
100 80 120.648350635106
105 80 118.400377494141
110 80 120.281535759143
115 80 118.742080502547
120 80 118.657455644035
125 80 118.723877018799
130 80 118.537865169697
5 85 164.636204815149
10 85 173.655777493035
15 85 184.174764173208
20 85 193.654313040694
25 85 201.442475382848
30 85 206.711932185719
35 85 206.908814971258
40 85 204.292116943107
45 85 195.320209054743
50 85 187.985704289535
55 85 180.957029028146
60 85 173.751049674346
65 85 160.227484244052
70 85 146.248775762994
75 85 132.376338855725
80 85 125.94665655011
85 85 123.203695169082
90 85 121.201351282667
95 85 120.397165972206
100 85 120.079566428309
105 85 121.427005045158
110 85 120.930091758549
115 85 119.749455012657
120 85 119.591787027485
125 85 119.159610751449
130 85 118.425864923397
5 90 169.963788284971
10 90 181.826421333273
15 90 194.387806267888
20 90 206.377724442806
25 90 210.861082593987
30 90 210.627026690784
35 90 206.087787882482
40 90 203.667793835181
45 90 198.952553501948
50 90 188.620121953458
55 90 182.014486265484
60 90 170.287049537057
65 90 160.996119613839
70 90 154.103282823697
75 90 148.565206077979
80 90 138.034460365637
85 90 130.226910002435
90 90 118.039024182839
95 90 114.83769087643
100 90 117.704140244582
105 90 121.839306061297
110 90 120.480823188696
115 90 119.099212541421
120 90 119.167885755436
125 90 119.24220174687
130 90 118.930719605281
5 95 177.324457693719
10 95 190.242047906711
15 95 201.247112957304
20 95 210.222878702296
25 95 213.905403463831
30 95 214.067223678073
35 95 205.909463141632
40 95 200.214836946233
45 95 193.969318214637
50 95 185.040714295517
55 95 174.015509708965
60 95 163.412575268048
65 95 159.605229786786
70 95 154.690129944993
75 95 147.036036685118
80 95 138.653444572914
85 95 131.282858691691
90 95 120.772845647485
95 95 119.94723063125
100 95 120.527293399555
105 95 119.36115624998
110 95 118.822736049493
115 95 119.185820490853
120 95 118.89692546068
125 95 118.833603930922
130 95 118.775186278439
5 100 176.114481800946
10 100 187.713546648011
15 100 197.216239505461
20 100 204.413286460972
25 100 206.443052759091
30 100 205.145473253983
35 100 193.59930059314
40 100 185.54411687226
45 100 177.912073135355
50 100 169.465402047881
55 100 163.785212651365
60 100 158.334541686981
65 100 151.379613991877
70 100 145.289335133439
75 100 139.564464499728
80 100 134.466240588306
85 100 128.270099504882
90 100 121.932643917812
95 100 119.956437650539
100 100 120.46677045693
105 100 119.292410167688
110 100 118.767002508185
115 100 118.586818139058
120 100 118.593126526539
125 100 118.578842802698
130 100 118.742670544712
5 105 168.646834969481
10 105 177.112154547269
15 105 185.191390350486
20 105 191.924469458669
25 105 193.844690747377
30 105 193.182084832195
35 105 182.041957670741
40 105 172.126313324628
45 105 164.603344469485
50 105 157.827748490477
55 105 153.371718351533
60 105 149.581670531217
65 105 141.066068356569
70 105 134.614245178122
75 105 131.92052614703
80 105 131.393899880319
85 105 126.01254453506
90 105 123.994343685748
95 105 121.121123115829
100 105 120.88726720549
105 105 120.149350104649
110 105 119.499965893447
115 105 119.234640313218
120 105 118.854138044692
125 105 118.764205484747
130 105 118.912499070297
5 110 159.647539401524
10 110 167.043117136999
15 110 173.238661601588
20 110 178.852028790429
25 110 180.624831891796
30 110 180.212332272567
35 110 171.678718011663
40 110 161.690661327352
45 110 155.251649953373
50 110 151.267095895915
55 110 149.210509595061
60 110 146.744742400457
65 110 140.737822885988
70 110 134.189452369418
75 110 129.941871148028
80 110 129.348892388677
85 110 126.193935170595
90 110 124.738367068382
95 110 123.091576541346
100 110 121.725805753108
105 110 120.912004231193
110 110 120.08064970531
115 110 119.775239226316
120 110 119.38175099097
125 110 119.339472391173
130 110 119.398098465302
5 115 152.239957960935
10 115 157.958635394667
15 115 163.537029044176
20 115 168.526461146458
25 115 170.600645663349
30 115 170.667277391312
35 115 164.770754688612
40 115 156.806903336766
45 115 151.219649379018
50 115 148.311906832671
55 115 146.542909406987
60 115 144.258012526856
65 115 139.363882154945
70 115 134.751284917802
75 115 131.18392056163
80 115 129.046426885253
85 115 127.104596713351
90 115 125.492428125645
95 115 124.453441084276
100 115 122.9430330321
105 115 121.765147152321
110 115 120.758652611308
115 115 120.292784522185
120 115 119.447571816822
125 115 119.769314702082
130 115 120.008159126922
5 120 146.907101726356
10 120 151.2797972758
15 120 155.991523239259
20 120 160.203685872059
25 120 162.257991434204
30 120 162.772366798585
35 120 160.874500698709
40 120 155.600546041999
45 120 149.774052202888
50 120 146.970463763176
55 120 144.33776186186
60 120 142.060657311766
65 120 138.183177968747
70 120 134.920447965855
75 120 132.161170876136
80 120 130.474985579429
85 120 128.956523160786
90 120 127.011897701756
95 120 125.565811639423
100 120 124.165001361762
105 120 122.743680671244
110 120 121.5638322354
115 120 120.67675850484
120 120 119.953479579072
125 120 120.023821794142
130 120 120.554602722668
5 125 144.76228652454
10 125 146.805233500459
15 125 151.021982097325
20 125 155.060733934072
25 125 156.99516373376
30 125 157.964818296247
35 125 157.97560065003
40 125 155.674737572159
45 125 150.340116628846
50 125 145.931400315823
55 125 142.435520508377
60 125 139.740048782882
65 125 137.221880791202
70 125 134.889817472185
75 125 133.169624439863
80 125 131.695440747362
85 125 130.744567650659
90 125 128.9931764819
95 125 127.504718561759
100 125 125.004699014408
105 125 123.587734385425
110 125 122.229644639184
115 125 120.802567880092
120 125 120.547195430249
125 125 120.695884877582
130 125 121.166757668854
5 130 144.173869434082
10 130 143.825431634985
15 130 144.760038206505
20 130 148.489938982456
25 130 151.542515584749
30 130 153.781229542068
35 130 155.497446614695
40 130 155.221670439505
45 130 152.740404114952
50 130 147.200769191644
55 130 142.376070798082
60 130 138.351456968133
65 130 136.008961108569
70 130 134.84007588249
75 130 133.874488371531
80 130 132.876066183972
85 130 132.073737242685
90 130 131.049756158071
95 130 129.660434278531
100 130 127.050036376114
105 130 124.167587956605
110 130 123.13521317706
115 130 121.771775005418
120 130 121.502371915962
125 130 121.23794936366
130 130 121.350033396253
